other_ingredients,count
cốm,10
nấm tuyết,10
lá oregano,10
gói yến,10
trà tinh chiết,10
sản phẩm có chứa mè,10
tổ yến sấy thăng hoa,10
sản phẩm có thể chứa mè,10
dấu cọ,10
mật bắp,10
đường tỉnh luyện,10
cả chua,10
chất màu tự nhiên,10
dịch chiết thịt bò tươi,10
gói rau củ,10
nước đường fructose,10
đậu bắp,10
tbhq,10
bột súp,10
lecithin,10
mè rang,10
cơm cháy,10
cỏ ngọt,10
nước ép trái cây nguyên chất,10
hương đào tự nhiên,10
gia vị hải sản,10
kali carbonat,10
disodium e5' ribonucleotides,10
vi khuẩn lên men,10
bột đậu nành đã khử béo,10
bột whey từ sữa,10
86,10
